"Pattern","Replacement","Explanation","Date"
"([aeouiyɛɔəāōēīūăŏĕĭŭ]́?̯?)br(?=[aeouiyɛɔəāōēīūăŏĕĭŭ])","\1βr","intervocalic br>βr","400"
"([aeouiyɛɔəāōēīūăŏĕĭŭ]́?̯?)g(?=[aeouiyɛɔəāōēīūăŏĕĭŭ])","\1γ","intervocalic g>γ","400"
"w","gw","w>gw (germanic w)","400"
"l(?=[cpbtdkgmnfvszjrʀδŋçx])","lˠ","l>lˠ before consonant","400"
"([cpbtdkgmnfvszljrʀδŋçx]?)k(?=a)","\1k̬","k+a>k̬ initial or after consonant","400"
"([cpbtdkgmnfvszljrʀδŋçx]?)g(?=a)","\1g̬","g+a>g̬ initial or after consonant","400"
"([aeouiyɛɔəāōēīūăŏĕĭŭ]́?̯?)βr(?=[aeouiyɛɔəāōēīūăŏĕĭŭ])","\1vr","intervocalic βr>vr","401"
"([cpbtdkgmnfvszljrʀδŋçx])[cpkgmnfvszljrʀδŋçx]([cpbtdkgmnfvszljrʀδŋçx])","\1\2","central of 3 consonants out","410"
"([cpbtdkgmnfvszljrʀδŋçx]?)k̬(?=a)","\1t̬","k̬+a > t̬ initial or after consonant","410"
"([cpbtdkgmnfvszljrʀδŋçx]?)g̬(?=a)","\1d̬","g̬+a > d̬ initial or after consonant","410"
"mt","nt","mt>nt","420"
"([cpbtdkgmnfvszljrʀδŋçx]?)t̬(?=a)","\1tʃ̬","t̬+a > tʃ̬ initial or after consonant","420"
"([cpbtdkgmnfvszljrʀδŋçx]?)d̬(?=a)","\1dʒ̬","d̬+a > dʒ̬ initial or after consonant","420"
"([aeouiyɛɔəāōēīūăŏĕĭŭ]́?̯?)β(?=[aeouiyɛɔəāōēīūăŏĕĭŭ])","\1v","intervocalic β>v","450"
"([aeouiyɛɔəāōēīūăŏĕĭŭ]́?̯?)γ(?=[ouɔ])","\1","intervocalic γ>zero before o,u","450"
"([eiɛ]́?̯?)γ(?=a)","\1j","intervocalic γ>j before a and after e, i","450"
"([ouɔ]́?̯?)γ(?=a)","\1","intervocalic γ>zero before a and after o, u","450"
"au","ɔ","au>ɔ","490"
"é(?=[cpbtdkgmnfvszljrʀδŋçx]?r?[aeouiyɛɔəāōēīūăŏĕĭŭ]|$)","éi̯","open syllable é>éi̯","500"
"ó(?=[cpbtdkgmnfvszljrʀδŋçx]?r?[aeouiyɛɔəāōēīūăŏĕĭŭ]|$)","óu̯","open syllable ó>óu̯","500"
"á(?=[cpbtdkgmnfvszljrʀδŋçx]?r?[aeouiyɛɔəāōēīūăŏĕĭŭ]|$)","áɛ̯","open syllable á>áɛ̯","500"
